Id,ImageURL,UnitPrice,Category1,Category2,Category3,Name,Description,ProductSKU,LongDescription
q27000008943707AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1010757BED-0.jpg,219,men,jackets,rainwear,Men’s Arrowood 3-in-1—tall,,1010757,"<ul><li>Standard fit</li>
<li>Works with zip-in-compatible inner jacket or additional layers</li>
<li>Waterproof, breathable, seam-sealed Comfort 2L shell with taffeta lining</li>
<li>100% windproof fabric</li>
<li>Zip-in-compatible integration with complementing garments from Northern Trail Outfitters</li>
<li>Attached, fully adjustable hood</li>
<li>Exposed, water-resistant, reverse-coil center front zip with internal draft flap</li>
<li>Zippered chest and hand pockets</li>
<li>Adjustable velcro cuffs</li>
<li>Hem cinch-cord</li>
<li>[Inner Jacket] Slim fit</li>
<li>200-weight, smooth-face fleece</li>
<li>Exposed, NTeston center front zip with internal draft flap</li>
<li>Covered, zippered pockets</li></ul>"
q27000001204929AAA,https://res.cloudinary.com/dsqg0ouys/image/upload/v1759404077/boots1_ld7ucr.jpg,175,men,shoes,boots,Original Classics,,10119200876,
q27000009865299AAA,,,,,,Amazon Echo Dot,,1020550,
q27000009867106AAA,,,,,,Apple MacBook Air,,1020719,
q27000001707479AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1040035AC8-0.jpg,35,men,accessories,scarves,Underballa Balaclava,,,"<ul><li>Helmet compatible</li> <li>Lightweight, hinged balaclava pairs a knit liner with soft, stretch fleece</li> <li>Thermal stretch fleece</li> <li>Hinged construction</li></ul>"
q27000001708409AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1040125AC8-0.jpg,35,men,accessories,scarves,Patrol Balaclava,,,"<ul><li>Technical, grid fleece balaclava</li> <li>Helmet compatible</li> <li>High-low grid fleece provides moisture management and breathability</li> <li>Versatile face opening can be worn above or below the mouth</li> <li>Flat-locked seams for comfort</li></ul>"
q27000009998608AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1050009AFI-0.jpg,350,men,shoes,boots,Men's Verto S4k NTO-tech Boots,,1050009AFI99665,
q27000002631034AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1050048BJ0-0.jpg,120,men,shoes,hiking,Men's Hedgehog Agile NTO-tech,,1050048,"<ul><li>Lightweight, NTO-tech waterproof hiker travels fast with the support of a Heel technology</li>
<li>Waterproof, breathable NTO-techmembrane</li>
<li>PU-coated leather</li>
<li>Abrasion-resistant and breathable textile mesh</li>
<li>TPU quarter weld for structure</li>
<li>Rustproof hardware</li>
<li>Heel-stability technology</li>
<li>Dual-density, compression-molded EVA midsole with Heel Guide</li>
<li>TPU shank</li>
<li>Rubber outsole</li></ul>"
q27000002631150AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1050080AST-0.jpg,130,men,shoes,boots,Men's Hedgehog Agile Mid NTO-tech,,1050080,"<ul><li>Lightweight, mid-cut hiker with waterproof NTO-tech membrane</li>
<li>Waterproof, breathable NTO-tech membrane</li>
<li>Polyurethane (PU)-coated leather</li>
<li>Abrasion-resistant and breathable textile mesh</li>
<li>TPU quarter weld for structure</li>
<li>Rustproof hardware</li>
<li>Heel-stability technology</li>
<li>Dual-density, compression-molded EVA midsole with Heel Guide</li>
<li>TPU shank supports arch supports arch</li>
<li>Exclusive, durable rubber outsole</li></ul>"
q27000002632143AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1050191BJ3-0.jpg,150,men,shoes,hiking,Men's Endurus Hike Mid NTO-tech,,1050191,"<ul><li>Ultra-comfortable, durable, mid-rise hiking shoes</li>
<li>Waterproof, breathable NTO-tech membrane</li>
<li>Seamless welded-TPU geo quarter panel delivers support and breathability</li>
<li>TPU welded over synthetic toe cap delivers rugged toe protection</li>
<li>Quick-Dry collar lining keeps your feet cool and dry</li>
<li>Industry-leading ightweight footbed ensures long-lasting comfort</li>
<li>The extra foam midsole offers a softer-density foam underfoot for superior comfort, while a firmer-density EVA compound around the perimeter provides inherent stability</li>
<li>Forefoot-to-midfoot NTO forefoot plate provides torsional rigidity and protection from stone bruising</li>
<li>Rubber sole for durable multi-terrain traction</li>
<li>4 mm sole lugs with biting edges</li></ul>"
q27000002632827AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1050203AEP-0.jpg,120,men,shoes,hiking,Men's Storm Mid Waterproof,,1050203,"<ul><li>Versatile, waterproof hiking boots</li>
<li>Luxurious foam in the tongue and collar lining</li>
<li>Gusseted tongue for waterproof debris protection</li>
<li>Breathable mesh</li>
<li>Suede geo quarter panel for midfoot support</li>
<li>Industry-leading ightweight footbed for long-lasting comfort</li>
<li>Compression-molded EVA midsole</li>
<li>NTO forefoot plate forefoot protection prevents stone bruising</li>
<li>Rubber sole features a proven lug pattern for wet and dry traction</li></ul>"
q27000002632829AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1050205AEP-0.jpg,110,men,shoes,hiking,Men's Storm Waterproof,,1050205,"<ul><li>Waterproof, durable hiking shoes</li>
<li>Suede geo quarter panel for midfoot support</li>
<li>Breathable mesh</li>
<li>Luxurious foam in the tongue and collar lining</li>
<li>Gusseted tongue for waterproof debris protection</li>
<li>Industry-leading ightweight footbed for long-lasting comfort</li>
<li>Compression-molded EVA midsole</li>
<li>NTO forefoot plate forefoot protection prevents stone bruising</li>
<li>Rubber sole features a proven lug pattern for wet and dry traction</li></ul>"
q27000002632924AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1050237AFA-0.jpg,100,men,shoes,hiking,Men’s Mountain Sneaker,,1050237,"<ul><li>Lightweight, breathable mesh vamp</li>
<li>Synthetic-suede quarter overlay with oversized perforations integrates into lacing system for added security and support</li>
<li>Stretch-mesh, sock-like construction allows for easy on/off</li>
<li>No-sew TPU toe cap delivers rugged protection</li>
<li>Lightweight footbed</li>
<li>Special extra foam midsole system provides maximum underfoot comfort, increased cushioning, and inherent stability on the trail</li>
<li>Midsole construction allows for more-resilient EVA perimeter to contain soft, shock-absorbing EVA core, which minimizes compression set and packing out</li>
<li>Heel technology for proper heel positioning</li>
<li>Decoupled outsole design with strategically placed flex grooves provides a great trail feel</li>
<li>Multi-directional, 4 mm lugs with biting/braking edges for traction on variable terrain</li></ul>"
q27000002633050AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1050279A1T-0.jpg,120,men,shoes,boots,Men’s Chilkat Pull-on Winter Boots,,1050279,"<ul><li>Pull-on, insulated boots with waterproof construction</li>
<li>Waterproof, nubuck suede upper</li>
<li>Waterproof construction</li>
<li>Elastic side panels for easy on/off</li>
<li>Rustproof hardware</li>
<li>Compression-molded EVA midsole</li>
<li>Durable NTO Cold Tread rubber sole</li>
<li>Temperature-sensitive rubber lugs for increased traction</li></ul>"
q27000009445213AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1050936A1E-0.jpg,130,men,shoes,boots,Men’s Vals Mid Wp Hiking Boots,,1050936A1E990,
q27000004459153AAA,https://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/1051075ADI-0.jpg,150,men,shoes,boots,Men’s First Rush Boots,,1051075ADI9986,
q27000008526701AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010033AC8-0.jpg,99,women,jackets & vests,lightweight,Women’s Peludo 2 Jacket,,,<ul><li>Classic fleece jacket for warmth in cool conditions</li> <li>Soft Silken high-pile raschel fleece</li> <li>Relaxed fit</li> <li>Stretch fabric at cuff</li> <li>Two secure-zip hand pockets</li></ul>
q27000008526636AAA,,,,,,Oculus Quest 2,,2010056,
q27000008526636AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010056AHV-0.jpg,99,women,jackets & vests,casual,Women's Everyday Vest,,,<ul><li>Warm your core in cool conditions with a classic insulated vest</li> <li>Secure Napoleon chest pocket</li> <li>Two secure-zip hand pockets</li> <li>Stows in hand pocket</li> <li>Elastic binding at cuffs</li> <li>Hem cinch-cord</li> <li>Zip-in compatible with complementary garments from Northern Trail Outfitters</li></ul>
q27000008525799AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010116A5O-0.jpg,149,women,jackets & vests,casual,Women’s Peak Bionic 2 Jacket - Updated Design,,,<ul><li>Windproof stretch soft-shell jacket for cool-weather activities</li> <li>Active fit</li> <li>Center zip</li> <li>Invisible-zip chest pocket</li> <li>Curved cuff with inner stretch cuff for added comfort and protection</li> <li>Hem cinch-cord</li> <li>Raised logos</li></ul>
q27000008525772AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010122AA3-0.jpg,149,women,jackets & vests,casual,Women’s Shelbe Raschel Hoodie,,,"<ul><li>Wind-resistant soft-shell hoodie with a warm, soft fleece lining</li> <li>Active fit</li> <li>Highly wind resistant—air permeability rated at less than 20 CFM</li> <li>Raschel lining with collar-edge detail</li> <li>Raschel-fleece-lined hood</li> <li>Secure-zip handwarmer pockets</li> <li>Internal comfort cuff</li></ul>"
q27000008525614AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010175A0S-0.jpg,99,women,jackets & vests,casual,Women's Discovery 2 Jacket,,,"<ul><li>Unlined, weatherproof rain jacket for year-round use</li> <li>Relaxed Fit</li> <li>Waterproof, breathable, fully seam-sealed Comfort 2.5L shell</li> <li>100% windproof fabric</li> <li>Adjustable hood</li> <li>Stormflap with velcro closure covers front zipper</li> <li>Covered, secure-zip hand pockets</li> <li>Pit-zip venting for added breathability</li> <li>Hem cinch-cord</li> <li>Stowable in hand pocket</li></ul>"
q27000008525613AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010176A0S-0.jpg,90,women,jackets & vests,casual,Women's Resolve 2 Jacket,,,"<ul><li>Weatherproof rain jacket with breathable mesh lining</li> <li>Relaxed Fit</li> <li>Waterproof, breathable, seam-sealed Comfort 2L jacket with mesh drop liner</li> <li>100% windproof fabric</li> <li>Adjustable hood stows in collar</li> <li>Center front stormflap with velcro closure</li> <li>Covered, secure-zip hand pockets</li> <li>Elastic-bound cuffs</li> <li>Hem cinch-cord</li> <li>Back panel kicker</li></ul>"
q27000008525612AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010177AC8-0.jpg,120,women,jackets & vests,casual,Women's Pitaya 2 Hoodie,,,"<ul><li>Highly wind-resistant, ripstop jacket with fleece lining</li> <li>Relaxed Fit</li> <li>Wind permeability rated at less than 4 CFM (0 CFM is 100% windproof)</li> <li>Elastic-bound hood</li> <li>Soft, luxurious moleskin lining</li> <li>Secure-zip hand pockets</li> <li>Elastic-bound cuffs</li> <li>Hem cinch-cord</li></ul>"
q27000008524844AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010210AC8-0.jpg,99,women,jackets & vests,lightweight,Women's Furry Fleece Full Zip,,,"<ul><li>Women’s warm, full-zip, fleece jacket</li> <li>Women's warm, full-zip, fleece jacket</li> <li>Standard Fit</li> <li>Soft and comfortable easy-care fabric</li> <li>High-pile fleece mixed with brushed-back fleece</li> <li>Low-profile, reverse-coil center front zip</li> <li>Two zip hand pockets</li> <li>Patch logo on left sleeve</li></ul>"
q27000008524812AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010221AC8-0.jpg,149,women,jackets & vests,casual,Women's Peak Risor Jacket,,,<ul><li>Women’s windproof jacket designed for aerobic activities</li> <li>Standard Fit</li> <li>Knit-face soft shell with heathered fleece backer</li> <li>100% windproof fabric</li> <li>Center front zip with internal draft flap</li> <li>Secure-zip hand pockets</li> <li>Secure-zip forearm stash pocket</li> <li>Curved cuff detail</li> <li>Drop-tail hem for added coverage</li></ul>
q27000008524687AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010262A17-0.jpg,249,women,jackets & vests,insulated,Women's Brooklyn Parka,,,"<ul><li>Women’s warm down parka with a hood</li> <li>Standard Fit</li> <li>Product certified to the Responsible Down Standard (RDS) by Control Union</li> <li>Adjustable hood</li> <li>Full-length front zip</li> <li>Elastic thread on side waist for added shaping</li> <li>Covered, secure-zip hand pockets</li> <li>Internal, secure-zip, media-compatible pocket</li> <li>Adjustable hem</li> <li>Embroidered NTO logos</li></ul>"
q27000008524684AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010265AIK-0.jpg,425,women,jackets & vests,windbreaker,Women's Rainier Integrum NTO-tech Active Jacket,,,"<ul><li>The Rainier Series Ski Mountaineering Collection offers a complete skimo system</li> <li>Waterproof, breathable, seam-sealed, NTO-tech Active three-layer shell</li> <li>100% windproof</li> <li>Attached, fully adjustable, helmet-compatible hood with laminated wire brim</li> <li>Large embedded cord locks for easy hood and hem adjustment when you're wearing gloves</li> <li>Exposed, polyurethane (PU) NTeston center front zip</li> <li>Partially exposed, matte PU chest pocket with internal mesh media pocket</li> <li>Adjustable velcro cuff tabs</li></ul>"
q27000008524682AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010267AIK-0.jpg,225,women,jackets & vests,casual,Women's Rainier Integrum Primaloft Hoodie,,,"<ul><li>The Rainier Series Ski Mountaineering Collection offers a complete skimo system</li> <li>Ultralight, insulated hooded jacket delivers superior warmth when wet</li> <li>Pre-tensioned, helmet-compatible hood with elastic binding and rear adjustment</li> <li>Exposed, reverse-coil center front zip</li> <li>Large single chest pocket</li> <li>Stretch-knit cuffs with thumb loops</li> <li>Single-pull, side-hem cinch-cord</li></ul>"
q27000008524681AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010268AC8-0.jpg,150,women,jackets & vests,lightweight,Women's Rainier Integrum Grid Fleece Hoodie,,,"<ul><li>NTO-tech grid fleece provides an unparalleled warmth-to-weight ratio and offers full stretch for improved movement</li> <li>Pre-tensioned, under-helmet hood</li> <li>Exposed, reverse-coil front zip</li> <li>Single chest pocket</li> <li>Stretch panels at bottom hem for close-to-body fit</li> <li>Stretch-knit cuffs with thumb loops</li></ul>"
q27000008524651AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010277AC8-0.jpg,99,women,jackets & vests,lightweight,Women's Campfire Vest,,,"<ul><li>Women’s ultra-warm, 300-weight fleece vest</li> <li>Standard Fit</li> <li>300-weight Sherpa fleece</li> <li>Exposed, reverse coil center front zip</li> <li>Covered, secure-zip hand pockets</li> <li>Elastic-bound center front zip and collar</li> <li>NTO patch logo</li></ul>"
q27000008524619AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010288AC8-0.jpg,249,women,jackets & vests,casual,Women's Morph Jacket,,,"<ul><li>Women’s warm, packable down climbing jacket</li> <li>Standard Fit</li> <li>800 fill goose down offers superior warmth yet remains extremely compressible</li> <li>Product certified to the Responsible Down Standard (RDS) by Control Union</li> <li>Exposed, NTeston center front zip</li> <li>Exposed, reverse-coil chest and hand pocket zips</li> <li>Harness- and pack-friendly pocket placement</li> <li>Stowable in hand pocket</li> <li>Internal, elastic-bound cuffs</li> <li>Hidden hem cinch-cord</li></ul>"
q27000008523906AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010308ABD-0.jpg,99,women,jackets & vests,casual,Women's Resolve Plus Jacket,,,"<ul><li>Versatile, waterproof shell with stowable hood and mesh lining</li> <li>Standard fit</li> <li>Seam-sealed,  100% windproof fabric</li> <li>Attached, fully-adjustable drop hood with brim can be rolled and stowed in collar</li> <li>Water-resistant center-front zip with interior stormflap</li> <li>Water-resistant hand-pocket zips</li> <li>Elastic-bound cuffs</li> <li>Hem cinch-cord</li></ul>"
q27000008523905AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010309AC8-0.jpg,149,women,jackets & vests,windbreaker,Women's City Midi Trench,,,"<ul><li>Waterproof, breathable Comfort shell with built-in waist-shaping and sealed seams</li> <li>Fully adjustable hood</li> <li>Standard fit</li> <li>Stormflap with bartack detail covers center-front zip</li> <li>Reflective NTO logo on chest and back</li> <li>Covered, secure-zip handwarmer pockets</li> <li>Internal, secure-zip media-compatible pocket</li></ul>"
q27000008522794AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010454ADK-0.jpg,100,women,jackets & vests,windbreaker,Women's Rainier L4 Windproof Soft Shell Hoodie,,,"<ul><li>Breathable, hybrid soft shell hoodie made for climbing</li> <li>Standard fit</li> <li>NTO-tech windproof fabric throughout the upper body provides lightweight, windproof protection</li> <li>Soft and stretchy, highly wind-resistant fabric rated at less than 10 CFM throughout forearms, lower body and hood</li> <li>Bonded seams minimize irritation when wearing a harness</li> <li>Attached, pre-tensioned, helmet-compatible hood</li> <li>Zippered chest pocket</li> <li>Invisible, harness- and pack-compatible, zippered hand pockets</li> <li>Clean, bonded cuffs</li> <li>Hidden hem cinch-cord can be adjusted through hand pockets</li></ul>"
q27000008522793AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010455ADK-0.jpg,300,women,jackets & vests,rainwear,Women's Rainier L5 Ultralight Storm Jacket,,,"<ul><li>Lightest, most packable Rainier Series represents the world’s finest alpine equipment and apparel shell designed to keep you dry</li> <li>Standard fit</li> <li>Made for movement</li> <li>100% windproof fabric</li> <li>Attached, pre-tensioned, helmet-compatible hood with a single-pull back adjustment</li> <li>Water-resistant hand and chest pockets</li> <li>Chest pocket features a stretch-mesh stowpocket with a loop that easily clips to your harness while you are climbing</li> <li>Chest pocket features a stretch-mesh stowpocket with a loop that easily clips to your harness while you are climbing</li> <li>Elastic-bound cuffs and hem are lightweight and keep out inclement weather</li></ul>"
q27000008522792AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010456AC8-0.jpg,199,women,jackets & vests,casual,Women's Morph Vest,,,"<ul><li>Warm, windproof vest</li> <li>Standard fit</li> <li>800-fill goose down offers superior warmth yet remains extremely compressible</li> <li>Engineered woven baffles for added warmth and durability</li> <li>NTeston center-front zip</li> <li>Zippered chest and hand pockets</li> <li>Harness- and pack-friendly pocket placement</li> <li>Stowable in hand pocket</li> <li>Hidden hem cinch-cord</li></ul>"
q27000008521961AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010510A02-0.jpg,249,women,jackets & vests,insulated,Women’s Pill Duster,,,<ul><li>Standard fit</li> <li>Stormflap covers the center front zip</li> <li>Raglan sleeves for added mobility</li> <li>Drop-tail hem</li></ul>
q27000008521959AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010512AC8-0.jpg,249,women,jackets & vests,insulated,Women’s Retro Newberry Jacket,,,"<ul><li>Made from post-consumer recycled content, Pill ECO with down alternative</li> <li>Relaxed fit</li> <li>Boxy silhouette</li> <li>Inspired by the iconic design lines of our Newberry Jacket</li> <li>Original shiny ripstop fabric for durability</li> <li>Oversize baffles inspired by the Newberry</li> <li>Stowable hood packs into collar</li> <li>Stows in hand pocket</li> <li>Internal, secure-zip hand pocket</li> <li>Exposed, NTeston, two-way center front zip</li> <li>Adjustable velcro cuff tabs</li> <li>Bungee cinch at hem</li></ul>"
q27000008521954AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010517A0S-0.jpg,149,women,jackets & vests,insulated,Women’s Pill Vest,,,"<ul><li>Slim fit</li> <li>Innovative bottleneck quilt pattern minimizes cold spots and improves durability</li> <li>13 g Pill insulation for warmth when wet</li> <li>Exposed, NTeston center front zip</li> <li>Internal, secure-zip chest pocket</li> <li>Covered, secure-zip hand pockets</li> <li>Stows in hand pocket</li> <li>Hem cinch-cord</li> <li>Slim fit</li> <li>Innovative bottleneck quilt pattern minimizes cold spots and improves durability</li> <li>13 g Pill insulation for warmth when wet</li> <li>Exposed, NTeston center front zip</li> <li>Internal, secure-zip chest pocket</li> <li>Covered, secure-zip hand pockets</li> <li>Stows in hand pocket</li> <li>Hem cinch-cord</li> <li>Matte fabric and novelty prints available in select colorways</li></ul>"
q27000008521892AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010537AC8-0.jpg,199,women,jackets & vests,insulated,Women’s Flight Jacket,,,"<ul><li>Slim fit</li> <li>Extra-durable, lightweight and breathable</li> <li>Back panel is insulated with 60 g Regulate insulation for extra breathability in a heat zone</li> <li>Stretch where needed</li> <li>Flight Series branded trims</li> <li>Wind permeability rated at 28.6 CFM</li> <li>360-degree reflectivity</li> <li>Media compatible</li> <li>Reflective logo on left chest and back-right shoulder</li></ul>"
q27000008521801AAA,http://s3.amazonaws.com/northerntrailoutfitters.com/nto-apparel/default/images/large/2010565A41-0.jpg,115,women,jackets & vests,lightweight,Women’s Peludo Sport Hybrid Full Zip,,,"<ul><li>Standard fit</li> <li>Quilted side panels with synthetic insulation insulation</li> <li>Constructed neck</li> <li>Soft, extra-high-pile, Silken raschel fleece</li> <li>Secure-zip, alpine-style hand pockets</li> <li>Embroidered logo on left chest</li></ul>"
